SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2010,NATURALINC2019,INTERNATIONALMIG2019,GQESTIMATES2019,RBIRTH2019,RDEATH2019
40,3,6,1,0,Alabama,Alabama,4903185,15504,57313,53879,3151,3434,2772,116625,11.70744243,11.0059723
50,3,6,1,1,Alabama,Autauga County,55869,336,624,541,-7,83,-16,455,11.20267141,9.712572485
50,3,6,1,3,Alabama,Baldwin County,223234,5379,2304,2326,-17,-22,80,2170,10.44687127,10.54662438
50,3,6,1,5,Alabama,Barbour County,24686,-186,256,312,-60,-56,13,2812,10.33132895,12.59130716
50,3,6,1,7,Alabama,Bibb County,22394,27,240,252,12,-12,10,2148,10.72362101,11.25980206
50,3,6,1,9,Alabama,Blount County,57826,55,651,657,53,-6,6,489,11.26326808,11.367077
50,3,6,1,11,Alabama,Bullock County,10101,-73,109,109,-14,0,-1,1663,10.75215783,10.75215783
50,3,6,1,13,Alabama,Butler County,19448,-183,213,272,-1,-59,18,333,10.90099542,13.92051997
50,3,6,1,15,Alabama,Calhoun County,113605,-726,1269,1532,7,-263,14,2833,11.13470448,13.44236979
50,3,6,1,17,Alabama,Chambers County,33254,-346,354,441,3,-87,6,458,10.59024142,13.19292787
50,3,6,1,19,Alabama,Cherokee County,26196,182,222,343,-56,-121,-3,290,8.504117985,13.13924536
50,3,6,1,21,Alabama,Chilton County,44428,265,551,503,-20,48,35,393,12.43918683,11.35555531
50,3,6,1,23,Alabama,Choctaw County,12589,-244,133,176,8,-43,-2,129,10.46337818,13.84627488
50,3,6,1,25,Alabama,Clarke County,23622,-296,266,324,4,-58,-5,280,11.19057636,13.63062684
50,3,6,1,27,Alabama,Clay County,13235,-59,143,187,-11,-44,-2,255,10.78065513,14.09777979
50,3,6,1,29,Alabama,Cleburne County,14910,-100,187,189,20,-2,-11,178,12.5,12.63368984
50,3,6,1,31,Alabama,Coffee County,52342,392,599,570,91,29,34,498,11.48697887,10.930848
50,3,6,1,33,Alabama,Colbert County,55241,237,630,719,32,-89,73,474,11.42908976,13.04367545
50,3,6,1,35,Alabama,Conecuh County,12067,-225,123,182,20,-59,1,45,10.09893674,14.94314217
50,3,6,1,37,Alabama,Coosa County,10663,20,89,122,10,-33,13,196,8.354454144,11.4521731
50,3,6,1,39,Alabama,Covington County,37049,96,413,543,9,-130,-5,575,11.16186049,14.67527905
50,3,6,1,41,Alabama,Crenshaw County,13772,-53,137,179,13,-42,3,132,9.928615429,12.97242454
50,3,6,1,43,Alabama,Cullman County,83768,350,990,1050,21,-60,34,1027,11.84309691,12.56086036
50,3,6,1,45,Alabama,Dale County,49172,29,648,546,101,102,18,941,13.1821187,11.10715557
50,3,6,1,47,Alabama,Dallas County,37196,-1098,438,542,53,-104,5,853,11.60418599,14.35951782
50,3,6,1,49,Alabama,DeKalb County,71513,106,795,819,80,-24,44,782,11.12510495,11.46095718
50,3,6,1,51,Alabama,Elmore County,81209,198,932,821,43,111,25,4147,11.49056836,10.12205647
50,3,6,1,53,Alabama,Escambia County,36633,109,420,474,59,-54,-1,2472,11.48215482,12.95843187
50,3,6,1,55,Alabama,Etowah County,102268,-343,1175,1487,-27,-312,37,2085,11.47018484,14.51588499
50,3,6,1,57,Alabama,Fayette County,16302,-143,174,225,2,-51,5,291,10.62692766,13.7417168
50,3,6,1,59,Alabama,Franklin County,31362,64,432,367,55,65,29,272,13.78870093,11.71401213
50,3,6,1,61,Alabama,Geneva County,26271,-35,278,365,-42,-87,-7,229,10.57496624,13.88439812
50,3,6,1,63,Alabama,Greene County,8111,-98,96,93,1,3,0,45,11.76470588,11.39705882
50,3,6,1,65,Alabama,Hale County,14651,-98,190,181,28,9,-3,221,12.92517007,12.31292517
50,3,6,1,67,Alabama,Henry County,17205,32,167,213,-19,-46,-1,199,9.715515737,12.39164582
50,3,6,1,69,Alabama,Houston County,105882,1112,1304,1137,91,167,11,1415,12.38060878,10.79505535
50,3,6,1,71,Alabama,Jackson County,51626,5,562,675,14,-113,-7,597,10.88651486,13.07544045
50,3,6,1,73,Alabama,Jefferson County,658573,-856,8422,7343,520,1079,460,16663,12.77995026,11.14262346
50,3,6,1,75,Alabama,Lamar County,13805,-77,159,172,-38,-13,-1,217,11.48553473,12.42460361
50,3,6,1,77,Alabama,Lauderdale County,92729,125,876,1136,12,-260,35,2280,9.453254412,12.25901485
50,3,6,1,79,Alabama,Lawrence County,32924,-17,349,428,18,-79,-3,229,10.59743415,12.99628027
50,3,6,1,81,Alabama,Lee County,164542,886,1825,1133,175,692,303,4913,11.12133529,6.904368704
50,3,6,1,83,Alabama,Limestone County,98915,2738,1014,864,69,150,32,2648,10.39509565,8.857359605
50,3,6,1,85,Alabama,Lowndes County,9726,-248,116,141,19,-25,-1,96,11.77664975,14.31472081
50,3,6,1,87,Alabama,Macon County,18068,-253,172,264,25,-92,1,1597,9.453406249,14.50987936
50,3,6,1,89,Alabama,Madison County,372909,5905,4242,3305,367,937,230,8940,11.46621292,8.93348272
50,3,6,1,91,Alabama,Marengo County,18863,-193,209,276,-52,-67,3,254,11.02349746,14.55734592
50,3,6,1,93,Alabama,Marion County,29709,-41,302,405,-4,-103,3,735,10.15826031,13.62283254
50,3,6,1,95,Alabama,Marshall County,96774,604,1395,1155,53,240,65,1045,14.46015424,11.97238577
50,3,6,1,97,Alabama,Mobile County,413210,-698,5443,4576,396,867,266,7390,13.16136271,11.06492665
50,3,6,1,99,Alabama,Monroe County,20733,-329,199,278,17,-79,-2,230,9.522670176,13.30302668
50,3,6,1,101,Alabama,Montgomery County,226486,-18,3058,2164,254,894,321,9302,13.5014018,9.554294797
50,3,6,1,103,Alabama,Morgan County,119679,476,1402,1316,90,86,113,2002,11.73801291,11.01799215
50,3,6,1,105,Alabama,Perry County,8923,-147,95,121,14,-26,2,709,10.55966209,13.44967487
50,3,6,1,107,Alabama,Pickens County,19930,-50,205,235,22,-30,14,1878,10.27311451,11.77649712
50,3,6,1,109,Alabama,Pike County,33114,-128,345,339,15,6,79,2204,10.39845681,10.21761408
50,3,6,1,111,Alabama,Randolph County,22722,-5,254,285,-7,-31,-6,390,11.17736364,12.54153007
50,3,6,1,113,Alabama,Russell County,57961,177,810,608,96,202,-49,574,13.99628494,10.50585339
50,3,6,1,115,Alabama,St. Clair County,89512,858,983,975,86,8,23,1582,11.03465308,10.94484919
50,3,6,1,117,Alabama,Shelby County,217702,2119,2237,1626,316,611,137,2416,10.32576711,7.505452531
50,3,6,1,119,Alabama,Sumter County,12427,-207,136,163,-30,-27,27,916,10.85351742,13.00825985
50,3,6,1,121,Alabama,Talladega County,79978,-159,844,1044,8,-200,32,3095,10.54242263,13.04062705
50,3,6,1,123,Alabama,Tallapoosa County,40367,-168,385,534,-34,-149,2,576,9.517688067,13.20115696
50,3,6,1,125,Alabama,Tuscaloosa County,209355,1036,2431,1872,239,559,221,9954,11.64065755,8.963928806
50,3,6,1,127,Alabama,Walker County,63521,-148,750,969,-22,-219,-1,852,11.79337998,15.23704694
50,3,6,1,129,Alabama,Washington County,16326,-76,165,191,16,-26,14,147,10.08310926,11.67196285
50,3,6,1,131,Alabama,Wilcox County,10373,-226,133,162,-43,-29,0,108,12.6835781,15.44917032
50,3,6,1,133,Alabama,Winston County,23629,-64,243,325,-2,-82,2,301,10.27006466,13.73568319
40,4,9,2,0,Alaska,Alaska,731545,-3594,10031,4819,1972,5212,659,26673,13.67847471,6.571285976
50,4,9,2,13,Alaska,Aleutians East Borough,3337,-58,10,9,1,1,43,1731,2.970885324,2.673796791
50,4,9,2,16,Alaska,Aleutians West Census Area,5634,-6,38,7,4,31,53,2529,6.741174384,1.241795281
50,4,9,2,20,Alaska,Anchorage Municipality,288000,-2521,3923,1847,847,2076,364,7595,13.56216974,6.385247899
50,4,9,2,50,Alaska,Bethel Census Area,18386,167,403,150,84,253,2,327,22.01884988,8.195601694
50,4,9,2,60,Alaska,Bristol Bay Borough,836,-44,8,7,0,1,1,16,9.324009324,8.158508159
50,4,9,2,68,Alaska,Denali Borough,2097,65,14,9,6,5,8,105,6.781302979,4.359409058
50,4,9,2,70,Alaska,Dillingham Census Area,4916,-75,87,42,2,45,1,52,17.56333905,8.478853336
50,4,9,2,90,Alaska,Fairbanks North Star Borough,96849,-1716,1533,506,366,1027,16,4689,15.68976634,5.178748708
50,4,9,2,100,Alaska,Haines Borough,2530,42,20,7,-8,13,0,0,7.971303308,2.789956158
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2148,-7,20,18,3,2,4,0,9.295840112,8.3662561
50,4,9,2,110,Alaska,Juneau City and Borough,31974,-63,340,177,40,163,20,985,10.62317414,5.53029948
50,4,9,2,122,Alaska,Kenai Peninsula Borough,58708,147,665,541,74,124,20,1686,11.34144574,9.226649839
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13901,45,153,88,27,65,24,267,11.02424614,6.340742876
50,4,9,2,150,Alaska,Kodiak Island Borough,12998,-252,168,53,53,115,33,390,12.80097531,4.038402926
50,4,9,2,158,Alaska,Kusilvak Census Area,8314,-9,233,103,47,130,7,13,28.00985755,12.38204003
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1592,-4,31,10,9,21,3,37,19.44792974,6.273525722
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,108317,1202,1368,646,223,722,16,2023,12.70006313,5.997252033
50,4,9,2,180,Alaska,Nome Census Area,10004,-49,197,101,26,96,2,179,19.64401456,10.0712968
50,4,9,2,185,Alaska,North Slope Borough,9832,-18,151,57,43,94,1,2651,15.34396911,5.792094299
50,4,9,2,188,Alaska,Northwest Arctic Borough,7621,-73,167,90,54,77,7,396,21.8086843,11.75318315
50,4,9,2,195,Alaska,Petersburg Borough,3266,22,30,29,11,1,2,43,9.216589862,8.9093702
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,6203,-157,59,53,15,6,2,50,9.392660989,8.437475125
50,4,9,2,220,Alaska,Sitka City and Borough,8493,-61,77,58,1,19,16,258,9.033847598,6.804716372
50,4,9,2,230,Alaska,Skagway Municipality,1183,14,8,14,3,-6,0,32,6.802721088,11.90476191
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6893,-44,109,35,23,74,12,369,15.76283442,5.061460593
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9202,41,118,58,0,60,-6,188,12.85193051,6.317050591
50,4,9,2,275,Alaska,Wrangell City and Borough,2502,-36,21,34,4,-13,5,13,8.333333333,13.49206349
50,4,9,2,282,Alaska,Yakutat City and Borough,579,-17,4,1,2,3,1,18,6.808510638,1.70212766
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5230,-129,76,69,12,7,2,31,14.35451884,13.03239211
40,4,8,4,0,Arizona,Arizona,7278717,120693,81942,60523,9429,21419,7782,161893,11.35186951,8.384579318
50,4,8,4,1,Arizona,Apache County,71887,156,934,702,187,232,37,956,13.00672618,9.775933379
50,4,8,4,3,Arizona,Cochise County,125922,-489,1348,1312,132,36,66,4436,10.68429417,10.39895693
50,4,8,4,5,Arizona,Coconino County,143476,953,1513,901,265,612,25,13646,10.58045658,6.300721331
50,4,8,4,7,Arizona,Gila County,54018,217,514,811,-46,-297,9,908,9.53449763,15.0437307
50,4,8,4,9,Arizona,Graham County,38837,842,526,323,78,203,30,2922,13.69221158,8.407955019
50,4,8,4,11,Arizona,Greenlee County,9498,50,144,49,-9,95,8,34,15.20109786,5.172595799
